cod_pais;nom_pais;Region;cod_provincia;nom_provincia;cod_depto;nom_depto;año_del_dato;Cantidad_de_nafs;nafs_ con red eléctrica;naf_con_acceso_a_caminos_y_rutas_cercanas;naf_con_acceso_a_agua_de_red_pública_ (agua corriente)
32;Argentina;CENTRO;6;BUENOS AIRES;245;ENSENADA;2011;1;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;245;ENSENADA;2012;2;1;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;245;ENSENADA;2015;2;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;245;ENSENADA;Sin dato;1;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2010;2;1;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2011;60;43;47;0
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2012;37;14;32;0
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2013;5;1;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2014;2;0;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2015;30;24;20;0
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2016;28;28;27;7
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;2017;48;48;18;0
32;Argentina;CENTRO;6;BUENOS AIRES;252;ESCOBAR;Sin dato;12;12;8;0
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2010;2;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2011;15;10;13;0
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2012;7;3;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2013;41;26;29;0
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2014;1;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2015;3;3;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2016;5;5;5;0
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2017;5;5;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;Sin dato;1;0;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;266;EXALTACION DE LA CRUZ;2009;1;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;266;EXALTACION DE LA CRUZ;2011;15;8;11;0
32;Argentina;CENTRO;6;BUENOS AIRES;266;EXALTACION DE LA CRUZ;2012;19;8;19;0
32;Argentina;CENTRO;6;BUENOS AIRES;266;EXALTACION DE LA CRUZ;2013;13;10;8;0
32;Argentina;CENTRO;6;BUENOS AIRES;266;EXALTACION DE LA CRUZ;2015;7;4;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;266;EXALTACION DE LA CRUZ;2016;2;2;2;2
32;Argentina;CENTRO;6;BUENOS AIRES;266;EXALTACION DE LA CRUZ;2017;3;1;0;1
32;Argentina;CENTRO;6;BUENOS AIRES;270;EZEIZA;2010;1;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;270;EZEIZA;2011;3;3;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;270;EZEIZA;2012;4;4;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;270;EZEIZA;2013;9;8;8;0
32;Argentina;CENTRO;6;BUENOS AIRES;270;EZEIZA;2017;1;1;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2009;1;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2010;7;3;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2011;16;9;13;0
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2012;44;24;29;0
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2013;29;26;21;0
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2014;27;25;21;0
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2015;27;23;18;0
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2016;37;36;30;1
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2017;197;189;81;14
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;Sin dato;57;56;39;0
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2010;52;40;43;0
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2011;2;2;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2012;22;13;15;0
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2013;1;1;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;277;FLORENTINO AMEGHINO;2014;1;1;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2009;31;19;25;0
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2010;18;7;16;0
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2011;13;12;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2012;38;24;27;0
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2013;20;13;14;0
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2014;12;8;7;0
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2015;6;5;4;0
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2016;9;8;7;0
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;2017;11;10;7;4
32;Argentina;CENTRO;6;BUENOS AIRES;280;GENERAL ALVARADO;Sin dato;2;2;2;0
