cod_pais;nom_pais;REGION;cod_provincia;nom_provincia;cod_depto;nom_depto;a¤o_del_dato;Integrantes_del_naf_con_obra_social;integrantes_del_naf_con_prepaga;integrantes_del_naf_con_sistema_p£blico_de_salud;integrantes_del_naf_sin_cobertura_medica
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2011;21;0;31;10
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2012;3;5;21;2
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2013;57;1;96;4
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2014;0;0;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2015;3;0;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2016;6;0;1;0
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;260;ESTEBAN ECHEVERRIA;Sin dato;0;0;2;0
32;Argentina;CENTRO;6;BUENOS AIRES;266;EXALTACION DE LA CRUZ;2009;0;0;0;5
32;Argentina;CENTRO;6;BUENOS AIRES;266;EXALTACION DE LA CRUZ;2011;5;5;35;0
32;Argentina;CENTRO;6;BUENOS AIRES;266;EXALTACION DE LA CRUZ;2012;22;0;49;4
32;Argentina;CENTRO;6;BUENOS AIRES;266;EXALTACION DE LA CRUZ;2013;10;0;18;11
32;Argentina;CENTRO;6;BUENOS AIRES;266;EXALTACION DE LA CRUZ;2015;7;0;11;4
32;Argentina;CENTRO;6;BUENOS AIRES;266;EXALTACION DE LA CRUZ;2016;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;266;EXALTACION DE LA CRUZ;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;270;EZEIZA;2010;2;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;270;EZEIZA;2011;2;0;7;0
32;Argentina;CENTRO;6;BUENOS AIRES;270;EZEIZA;2012;3;0;3;0
32;Argentina;CENTRO;6;BUENOS AIRES;270;EZEIZA;2013;7;0;13;5
32;Argentina;CENTRO;6;BUENOS AIRES;270;EZEIZA;2017;0;0;0;0
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2009;0;0;5;0
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2010;4;0;23;3
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2011;11;0;55;1
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2012;63;0;82;12
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2013;26;3;58;12
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2014;43;1;25;18
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2015;17;3;55;6
32;Argentina;CENTRO;6;BUENOS AIRES;274;FLORENCIO VARELA;2016;13;4;12;8
