cod_pais,nom_pais,Region,Provincia,Cod prov,Departamento,Cod dpto,Año del dato,Tenencia de la tierra,Cantidad de NAFs
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2014,No declara tierra con límite,3
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2014,Otra condición,1
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2014,Propietario,1
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2014,Tenedor,5
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2015,Tenedor,6
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2016,No declara tierra con límite,2
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2016,Tenedor,2
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2017,Posesión,1
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,2017,Tenedor,2
32,Argentina,CENTRO,BUENOS AIRES,6,BAHIA BLANCA,56,Sin dato,Tenedor,2
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2009,Posesión,3
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2009,Propietario,1
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2009,Tenedor,1
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2010,Otra condición,1
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2010,Posesión,12
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2010,Propietario,11
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2010,Tenedor,7
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2011,Otra condición,3
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2011,Posesión,20
32,Argentina,CENTRO,BUENOS AIRES,6,BALCARCE,63,2011,Propietario,10
