cod_pais,nom_pais,region,cod_provincia,nom_provincia,cod_depto,nom_depto,año_de_registro,Cant_de_naf,integ_del_NAF,sin_educacion_formal,educacion_inicial,educacion_primaria,educacion_secundaria,educacion_cens,educacion_superior,educacion_especial
32,Argentina,NOA,10,CATAMARCA,7,AMBATO,2009,35,112,10,2,73,21,0,6,0
32,Argentina,NOA,10,CATAMARCA,7,AMBATO,2010,55,161,9,5,103,41,0,3,0
32,Argentina,NOA,10,CATAMARCA,7,AMBATO,2011,1,4,0,0,3,1,0,0,0
32,Argentina,NOA,10,CATAMARCA,7,AMBATO,2012,54,134,15,12,58,41,0,8,0
32,Argentina,NOA,10,CATAMARCA,7,AMBATO,2013,1,5,1,0,2,2,0,0,0
32,Argentina,NOA,10,CATAMARCA,7,AMBATO,2014,4,8,0,0,7,0,0,0,0
32,Argentina,NOA,10,CATAMARCA,7,AMBATO,2015,14,42,3,1,19,15,0,1,1
32,Argentina,NOA,10,CATAMARCA,7,AMBATO,2016,8,28,1,0,19,6,0,0,0
32,Argentina,NOA,10,CATAMARCA,7,AMBATO,2017,5,17,2,0,5,7,0,3,0
32,Argentina,NOA,10,CATAMARCA,7,AMBATO,Sin dato,3,7,0,0,3,2,1,0,0
32,Argentina,NOA,10,CATAMARCA,14,ANCASTI,2009,15,50,4,3,30,12,0,1,0
32,Argentina,NOA,10,CATAMARCA,14,ANCASTI,2010,83,329,39,9,190,64,12,15,0
32,Argentina,NOA,10,CATAMARCA,14,ANCASTI,2011,12,36,2,0,24,7,2,1,0
32,Argentina,NOA,10,CATAMARCA,14,ANCASTI,2012,106,368,32,54,191,75,12,4,0
32,Argentina,NOA,10,CATAMARCA,14,ANCASTI,2013,6,12,1,2,8,1,0,0,0
32,Argentina,NOA,10,CATAMARCA,14,ANCASTI,2014,1,1,0,0,0,1,0,0,0
32,Argentina,NOA,10,CATAMARCA,14,ANCASTI,2015,2,5,0,0,3,1,0,0,0
32,Argentina,NOA,10,CATAMARCA,14,ANCASTI,2016,1,4,2,0,0,2,0,0,0
32,Argentina,NOA,10,CATAMARCA,14,ANCASTI,2017,12,28,2,0,9,11,1,5,0
32,Argentina,NOA,10,CATAMARCA,21,ANDALGALA,2009,43,190,17,3,148,15,2,5,0
32,Argentina,NOA,10,CATAMARCA,21,ANDALGALA,2010,155,599,79,42,389,79,3,7,0
32,Argentina,NOA,10,CATAMARCA,21,ANDALGALA,2011,104,335,29,21,188,76,0,21,0
32,Argentina,NOA,10,CATAMARCA,21,ANDALGALA,2012,60,213,14,9,116,56,0,17,1
32,Argentina,NOA,10,CATAMARCA,21,ANDALGALA,2013,12,27,1,1,13,10,0,0,0
32,Argentina,NOA,10,CATAMARCA,21,ANDALGALA,2014,4,9,0,0,4,4,0,1,0
32,Argentina,NOA,10,CATAMARCA,21,ANDALGALA,2015,9,30,2,0,14,9,0,3,0
32,Argentina,NOA,10,CATAMARCA,21,ANDALGALA,2016,5,24,2,0,7,12,0,2,0
32,Argentina,NOA,10,CATAMARCA,21,ANDALGALA,2017,7,23,2,0,7,9,0,5,0
32,Argentina,NOA,10,CATAMARCA,21,ANDALGALA,Sin dato,3,9,1,0,5,1,0,1,0
32,Argentina,CUYO,70,SAN JUAN,14,ANGACO,2009,10,39,2,1,27,5,1,1,2
32,Argentina,CUYO,70,SAN JUAN,14,ANGACO,2010,175,654,65,42,376,146,5,18,1
32,Argentina,CUYO,70,SAN JUAN,14,ANGACO,2011,16,60,3,12,36,7,0,2,0
32,Argentina,CUYO,70,SAN JUAN,14,ANGACO,2012,23,96,5,11,54,18,0,7,0
32,Argentina,CUYO,70,SAN JUAN,14,ANGACO,2013,20,59,0,2,33,13,2,4,0
32,Argentina,CUYO,70,SAN JUAN,14,ANGACO,2014,38,103,5,2,55,28,0,5,2
32,Argentina,CUYO,70,SAN JUAN,14,ANGACO,2015,5,12,0,0,8,2,1,1,0
32,Argentina,CUYO,70,SAN JUAN,14,ANGACO,2016,2,9,0,2,2,1,1,2,0
32,Argentina,CUYO,70,SAN JUAN,14,ANGACO,2017,5,15,0,0,13,2,0,0,0
32,Argentina,CUYO,70,SAN JUAN,14,ANGACO,Sin dato,1,6,0,0,2,4,0,0,0
32,Argentina,NOA,66,SALTA,7,ANTA,2010,61,256,31,8,182,33,0,2,0
32,Argentina,NOA,66,SALTA,7,ANTA,2011,13,60,2,0,44,14,0,0,0
32,Argentina,NOA,66,SALTA,7,ANTA,2012,11,43,3,2,28,8,0,2,0
32,Argentina,NOA,66,SALTA,7,ANTA,2013,115,410,32,13,201,118,2,32,0
32,Argentina,NOA,66,SALTA,7,ANTA,2014,111,328,39,9,185,82,1,3,1
32,Argentina,NOA,66,SALTA,7,ANTA,2015,7,14,2,0,7,0,0,0,0
32,Argentina,NOA,66,SALTA,7,ANTA,2016,18,60,7,3,31,11,0,2,0
32,Argentina,NOA,66,SALTA,7,ANTA,2017,135,401,22,0,225,129,0,25,0
32,Argentina,NOA,66,SALTA,7,ANTA,Sin dato,2,3,0,0,2,0,0,0,0
32,Argentina,NOA,10,CATAMARCA,28,ANTOFAGASTA DE LA SIERRA,2010,109,424,36,74,218,76,4,14,2
32,Argentina,NOA,10,CATAMARCA,28,ANTOFAGASTA DE LA SIERRA,2011,24,66,5,3,40,18,0,0,0
