cod_pais;nom_pais;region;cod_provincia;nom_provincia;cod_depto;nom_depto;Cant_de_naf;año_de_registro;integ_del_NAF;integ_menores_de_edad;integ_mayores_de_edad;integ_que_trabajan_en_el_predio;cant_de_mujeres_integrantes_del_NAF;cant_de_varones_integrantes_del_NAF
32;Argentina;NOA;10;CATAMARCA;7;AMBATO;55;2010;161;59;102;114;81;80
32;Argentina;NOA;10;CATAMARCA;7;AMBATO;1;2011;4;2;2;2;1;3
32;Argentina;NOA;10;CATAMARCA;7;AMBATO;54;2012;134;37;97;79;54;80
32;Argentina;NOA;10;CATAMARCA;7;AMBATO;1;2013;5;3;2;2;2;3
32;Argentina;NOA;10;CATAMARCA;7;AMBATO;4;2014;8;0;8;6;6;2
32;Argentina;NOA;10;CATAMARCA;7;AMBATO;14;2015;42;13;29;22;20;22
32;Argentina;NOA;10;CATAMARCA;7;AMBATO;8;2016;28;6;22;14;10;14
32;Argentina;NOA;10;CATAMARCA;7;AMBATO;5;2017;17;6;11;1;9;8
32;Argentina;NOA;10;CATAMARCA;7;AMBATO;3;Sin dato;7;1;6;5;3;4
32;Argentina;NOA;10;CATAMARCA;14;ANCASTI;15;2009;50;20;30;40;29;21
32;Argentina;NOA;10;CATAMARCA;14;ANCASTI;83;2010;329;142;187;237;158;171
32;Argentina;NOA;10;CATAMARCA;14;ANCASTI;12;2011;36;10;26;29;14;22
32;Argentina;NOA;10;CATAMARCA;14;ANCASTI;106;2012;368;132;236;275;169;199
32;Argentina;NOA;10;CATAMARCA;14;ANCASTI;6;2013;12;3;9;9;7;5
32;Argentina;NOA;10;CATAMARCA;14;ANCASTI;1;2014;1;0;1;1;0;1
32;Argentina;NOA;10;CATAMARCA;14;ANCASTI;2;2015;5;3;2;2;1;4
32;Argentina;NOA;10;CATAMARCA;14;ANCASTI;1;2016;4;2;2;0;3;1
32;Argentina;NOA;10;CATAMARCA;14;ANCASTI;12;2017;28;8;20;3;14;14
32;Argentina;NOA;10;CATAMARCA;21;ANDALGALA;43;2009;190;84;106;154;92;98
32;Argentina;NOA;10;CATAMARCA;21;ANDALGALA;155;2010;599;262;337;375;291;308
32;Argentina;NOA;10;CATAMARCA;21;ANDALGALA;104;2011;335;127;208;186;168;167
32;Argentina;NOA;10;CATAMARCA;21;ANDALGALA;60;2012;213;61;152;149;96;117
32;Argentina;NOA;10;CATAMARCA;21;ANDALGALA;12;2013;27;10;17;18;13;14
32;Argentina;NOA;10;CATAMARCA;21;ANDALGALA;4;2014;9;0;9;7;2;7
32;Argentina;NOA;10;CATAMARCA;21;ANDALGALA;9;2015;30;8;22;20;11;19
